continente;cod_continente;pais;cod_pais;uf;cod_uf;via;cod_via;ano;mes;cod_mes;chegadas
África;1;África do Sul;2;Acre;1;Aérea;1;2021;janeiro;1;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;fevereiro;2;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;março;3;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;abril;4;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;maio;5;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;junho;6;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;julho;7;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;agosto;8;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;setembro;9;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;outubro;10;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;novembro;11;0
África;1;África do Sul;2;Acre;1;Aérea;1;2021;dezembro;12;0
África;1;Angola;6;Acre;1;Aérea;1;2021;janeiro;1;0
África;1;Angola;6;Acre;1;Aérea;1;2021;fevereiro;2;0
África;1;Angola;6;Acre;1;Aérea;1;2021;março;3;0
África;1;Angola;6;Acre;1;Aérea;1;2021;abril;4;0
África;1;Angola;6;Acre;1;Aérea;1;2021;maio;5;0
África;1;Angola;6;Acre;1;Aérea;1;2021;junho;6;0
África;1;Angola;6;Acre;1;Aérea;1;2021;julho;7;0
África;1;Angola;6;Acre;1;Aérea;1;2021;agosto;8;0
África;1;Angola;6;Acre;1;Aérea;1;2021;setembro;9;0
África;1;Angola;6;Acre;1;Aérea;1;2021;outubro;10;0
África;1;Angola;6;Acre;1;Aérea;1;2021;novembro;11;0
África;1;Angola;6;Acre;1;Aérea;1;2021;dezembro;12;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;janeiro;1;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;fevereiro;2;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;março;3;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;abril;4;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;maio;5;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;junho;6;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;julho;7;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;agosto;8;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;setembro;9;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;outubro;10;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;novembro;11;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2021;dezembro;12;0
África;1;Egito;60;Acre;1;Aérea;1;2021;janeiro;1;0
África;1;Egito;60;Acre;1;Aérea;1;2021;fevereiro;2;0
África;1;Egito;60;Acre;1;Aérea;1;2021;março;3;0
África;1;Egito;60;Acre;1;Aérea;1;2021;abril;4;0
África;1;Egito;60;Acre;1;Aérea;1;2021;maio;5;0
África;1;Egito;60;Acre;1;Aérea;1;2021;junho;6;0
África;1;Egito;60;Acre;1;Aérea;1;2021;julho;7;0
África;1;Egito;60;Acre;1;Aérea;1;2021;agosto;8;0
África;1;Egito;60;Acre;1;Aérea;1;2021;setembro;9;0
