IBOVESPA - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;113.228,31;;121.570,15;;111.359,94;98.953,90;102.225,08;110.405,30;;116.928,66;110.925,60
2;;111.894,36;115.173,61;;106.638,64;112.392,91;;103.361,70;110.864,24;;;111.923,93
3;103.921,59;111.695,94;115.165,55;;106.528,09;111.102,32;;103.774,68;;116.134,46;116.896,36;
4;103.513,64;112.244,94;114.473,78;121.279,51;108.343,74;;98.608,76;105.892,22;;116.230,12;118.155,46;
5;101.005,64;;;118.885,15;105.304,19;;98.294,64;106.471,92;112.203,35;117.197,82;;109.401,41
6;101.561,05;;;118.227,75;105.134,73;110.185,91;98.718,98;;109.763,77;117.560,83;;110.188,57
7;102.719,47;111.996,40;111.593,46;118.862,12;;110.069,76;100.729,72;;;116.375,25;115.342,40;109.068,55
8;;112.234,46;111.203,45;118.322,26;;108.367,67;100.288,94;108.402,27;109.915,64;;116.160,35;107.249,04
9;;112.461,39;113.900,34;;103.250,02;107.093,71;;108.651,05;112.300,41;;113.580,09;107.519,56
10;101.945,20;113.367,77;113.663,13;;103.109,94;105.481,23;;110.235,76;;115.940,64;109.775,46;
11;103.778,98;113.572,35;111.713,07;116.952,85;104.396,90;;98.212,46;109.717,94;;114.827,12;112.253,49;
12;105.685,66;;;116.146,86;105.687,64;;98.271,21;112.764,26;113.406,55;;;105.343,33
13;105.529,50;;;116.781,96;106.924,18;102.598,18;97.881,16;;110.793,96;114.300,09;;103.539,67
14;106.927,79;113.899,19;109.927,62;116.181,61;;102.063,25;96.120,85;;110.546,67;112.072,34;113.161,28;103.745,77
15;;114.828,18;108.959,30;;;102.806,82;96.551,00;113.031,98;109.953,65;;;103.737,69
16;;115.180,95;111.112,43;;108.232,74;;;113.512,38;109.280,37;;110.243,33;102.855,70
17;106.373,87;113.528,48;113.076,33;;108.789,33;99.824,94;;113.707,76;;113.623,98;109.702,78;
18;106.667,66;112.879,85;115.310,91;115.687,25;106.247,15;;96.916,13;113.812,87;;115.743,07;108.870,17;
19;108.013,47;;;115.056,66;107.005,22;;98.244,80;111.496,21;111.823,89;116.274,24;;104.739,75
20;109.101,99;;;114.343,78;108.487,88;99.852,67;98.286,83;;112.516,91;117.171,11;;106.864,11
21;108.941,68;111.725,30;116.154,53;;;99.684,50;99.033,17;;111.935,86;119.928,79;109.748,18;107.433,14
22;;112.891,80;117.272,44;111.077,51;;99.522,32;98.924,82;110.500,53;114.070,48;;109.036,54;107.551,52
23;;112.007,61;117.457,34;;110.345,82;98.080,34;;112.857,10;111.716,00;;108.841,15;109.697,57
24;107.937,11;111.591,87;119.052,91;;110.580,79;98.672,26;;112.897,84;;116.012,70;111.831,16;
25;110.203,77;113.141,94;119.081,13;110.684,95;110.579,81;;100.269,85;113.531,72;;114.625,59;108.976,70;
26;111.289,18;;;108.212,86;111.889,88;;99.771,69;112.298,86;109.114,16;112.763,79;;108.737,75
27;112.611,65;;;109.349,37;111.941,68;100.763,60;101.437,96;;108.376,35;114.640,76;;108.578,20
28;111.910,10;;118.737,78;109.918,97;;100.591,41;102.596,66;;108.451,20;114.539,05;108.782,15;110.236,71
29;;;120.014,17;107.876,16;;99.621,58;103.164,69;112.323,12;107.664,35;;110.909,61;109.734,60
30;;;120.259,76;;111.032,11;98.541,95;;110.430,64;110.036,79;;112.486,01;
31;112.143,51;;119.999,23;;111.350,51;;;109.522,88;;116.037,08;;
MÍNIMO;101.005,64;111.591,87;108.959,30;107.876,16;103.109,94;98.080,34;96.120,85;102.225,08;107.664,35;112.072,34;108.782,15;102.855,70
MÍNIMO;112.611,65;115.180,95;120.259,76;121.570,15;111.941,68;112.392,91;103.164,69;113.812,87;114.070,48;119.928,79;118.155,46;111.923,93
