ano,muni,uf,regiao,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
1991,ALTA FLORESTA D'OESTE,RO,Norte,0.329,0.112,0.617,0.516,62.01,198.46,0.63,22835,-11.929,-61.996
1991,ARIQUEMES,RO,Norte,0.432,0.199,0.684,0.593,66.02,319.47,0.57,55018,-9.913,-63.041
1991,CABIXI,RO,Norte,0.309,0.108,0.636,0.43,63.16,116.38,0.7,5846,-13.492,-60.545
1991,CACOAL,RO,Norte,0.407,0.171,0.667,0.593,65.03,320.24,0.66,66534,-11.438,-61.448
1991,CEREJEIRAS,RO,Norte,0.386,0.167,0.629,0.547,62.73,240.1,0.6,19030,-13.189,-60.812
1991,COLORADO DO OESTE,RO,Norte,0.376,0.151,0.658,0.536,64.46,224.82,0.62,25070,-13.117,-60.542
1991,CORUMBIARA,RO,Norte,0.203,0.039,0.572,0.373,59.32,81.38,0.59,10737,-12.962,-60.887
1991,COSTA MARQUES,RO,Norte,0.425,0.22,0.629,0.553,62.76,250.08,0.65,6902,-12.445,-64.227
1991,ESPIGÃO D'OESTE,RO,Norte,0.388,0.159,0.653,0.561,64.18,263.03,0.63,22505,-11.525,-61.013
1991,GUAJARÁ-MIRIM,RO,Norte,0.468,0.247,0.662,0.625,64.71,391.37,0.6,31240,-10.783,-65.339
1991,JARU,RO,Norte,0.352,0.124,0.658,0.534,64.46,221.53,0.57,46478,-10.439,-62.466
1991,JI-PARANÁ,RO,Norte,0.433,0.209,0.659,0.589,64.51,312.09,0.57,96175,-10.882,-61.944
1991,MACHADINHO D'OESTE,RO,Norte,0.286,0.074,0.591,0.533,60.43,220.98,0.6,9884,-9.444,-61.981
1991,NOVA BRASILÂNDIA D'OESTE,RO,Norte,0.272,0.079,0.607,0.421,61.4,109.75,0.52,18275,-11.725,-62.331
1991,OURO PRETO DO OESTE,RO,Norte,0.382,0.155,0.629,0.57,62.76,276.84,0.59,35608,-10.716,-62.248
1991,PIMENTA BUENO,RO,Norte,0.412,0.185,0.629,0.599,62.76,332.51,0.59,30985,-11.673,-61.193
1991,PORTO VELHO,RO,Norte,0.495,0.29,0.633,0.66,62.99,486.43,0.58,264484,-8.762,-63.904
1991,PRESIDENTE MÉDICI,RO,Norte,0.348,0.128,0.647,0.507,63.84,187.85,0.52,29453,-11.176,-61.901
1991,RIO CRESPO,RO,Norte,0.259,0.065,0.578,0.461,59.66,140.95,0.51,2329,-9.705,-62.9
1991,ROLIM DE MOURA,RO,Norte,0.383,0.153,0.665,0.554,64.87,251.8,0.58,42319,-11.733,-61.778
1991,SANTA LUZIA D'OESTE,RO,Norte,0.289,0.1,0.572,0.422,59.32,110.82,0.57,11163,-11.902,-61.779
1991,VILHENA,RO,Norte,0.498,0.284,0.665,0.655,64.89,472.17,0.59,37210,-12.741,-60.146
1991,SÃO MIGUEL DO GUAPORÉ,RO,Norte,0.252,0.066,0.559,0.433,58.56,118.34,0.62,9794,-11.681,-62.684
1991,NOVA MAMORÉ,RO,Norte,0.336,0.134,0.547,0.517,57.82,199.35,0.51,7119,-10.411,-65.331
1991,ALVORADA D'OESTE,RO,Norte,0.313,0.112,0.598,0.458,60.89,138.64,0.58,19253,-11.408,-62.389
1991,ALTO ALEGRE DOS PARECIS,RO,Norte,0.241,0.054,0.572,0.451,59.32,132.23,0.64,7847,-12.128,-61.851
1991,ALTO PARAÍSO,RO,Norte,0.269,0.074,0.578,0.454,59.66,134.82,0.6,8689,-9.713,-63.321
1991,BURITIS,RO,Norte,0.325,0.113,0.638,0.474,63.27,152.66,0.39,500,-10.212,-63.829
1991,NOVO HORIZONTE DO OESTE,RO,Norte,0.199,0.038,0.572,0.362,59.32,76.31,0.54,11460,-11.71,-62
1991,CACAULÂNDIA,RO,Norte,0.283,0.079,0.609,0.47,61.51,149.14,0.44,5246,-10.34,-62.896
1991,CAMPO NOVO DE RONDÔNIA,RO,Norte,0.293,0.085,0.597,0.496,60.79,174.67,0.5,4157,-10.571,-63.627
1991,CANDEIAS DO JAMARI,RO,Norte,0.366,0.143,0.578,0.595,59.66,325.36,0.71,7794,-8.791,-63.701
1991,CASTANHEIRAS,RO,Norte,0.221,0.048,0.572,0.394,59.32,92.82,0.51,4369,-11.427,-61.95
1991,CHUPINGUAIA,RO,Norte,0.281,0.068,0.616,0.529,61.95,215.23,0.53,3548,-12.552,-60.9
1991,CUJUBIM,RO,Norte,0.237,0.05,0.629,0.425,62.73,112.37,0.52,2407,-9.363,-62.585
1991,GOVERNADOR JORGE TEIXEIRA,RO,Norte,0.217,0.039,0.558,0.471,58.48,150.04,0.7,6027,-10.61,-62.737
1991,ITAPUÃ DO OESTE,RO,Norte,0.349,0.135,0.568,0.552,59.06,248.4,0.66,3275,-9.205,-63.18
1991,MINISTRO ANDREAZZA,RO,Norte,0.277,0.061,0.638,0.546,63.27,239.14,0.78,9161,-11.196,-61.517
1991,MIRANTE DA SERRA,RO,Norte,0.254,0.055,0.647,0.459,63.84,139.31,0.6,10388,-11.03,-62.675
1991,MONTE NEGRO,RO,Norte,0.27,0.062,0.609,0.52,61.51,203.86,0.58,6676,-10.246,-63.29
1991,NOVA UNIÃO,RO,Norte,0.228,0.047,0.591,0.427,60.43,113.92,0.54,5641,-10.904,-62.561
1991,PARECIS,RO,Norte,0.174,0.018,0.629,0.463,62.73,142.31,0.44,3185,-12.175,-61.603
1991,PIMENTEIRAS DO OESTE,RO,Norte,0.28,0.072,0.658,0.463,64.46,142.54,0.52,2194,-13.483,-61.047
1991,PRIMAVERA DE RONDÔNIA,RO,Norte,0.284,0.082,0.629,0.446,62.73,128.53,0.51,5629,-11.828,-61.321
1991,SÃO FELIPE D'OESTE,RO,Norte,0.232,0.047,0.629,0.425,62.73,112.83,0.48,7327,-11.903,-61.502
1991,SÃO FRANCISCO DO GUAPORÉ,RO,Norte,0.298,0.086,0.647,0.476,63.84,154.47,0.71,1899,-12.062,-63.569
1991,SERINGUEIRAS,RO,Norte,0.258,0.061,0.622,0.455,62.3,135.92,0.69,4594,-11.798,-63.031
1991,TEIXEIRÓPOLIS,RO,Norte,0.226,0.038,0.653,0.466,64.18,145.63,0.5,5325,-10.918,-62.249
1991,THEOBROMA,RO,Norte,0.247,0.052,0.636,0.454,63.16,134.75,0.61,5286,-10.244,-62.355
1991,URUPÁ,RO,Norte,0.23,0.037,0.647,0.506,63.84,186.33,0.59,11864,-11.125,-62.376
1991,VALE DO ANARI,RO,Norte,0.216,0.042,0.583,0.412,59.95,104.05,0.75,3269,-9.863,-62.186
1991,VALE DO PARAÍSO,RO,Norte,0.247,0.053,0.647,0.442,63.84,125.04,0.5,8708,-10.449,-62.134
1991,ACRELÂNDIA,AC,Norte,0.247,0.043,0.652,0.535,64.1,223.65,0.6,6266,-9.828,-66.883
1991,ASSIS BRASIL,AC,Norte,0.314,0.096,0.646,0.499,63.73,178.52,0.48,4046,-10.941,-69.567
1991,BRASILÉIA,AC,Norte,0.336,0.123,0.622,0.497,62.33,176.76,0.56,12662,-11.01,-68.748
1991,BUJARI,AC,Norte,0.267,0.055,0.677,0.513,65.62,194.84,0.51,3148,-9.831,-67.952
1991,CAPIXABA,AC,Norte,0.183,0.02,0.596,0.514,60.74,195.72,0.48,2298,-10.573,-67.676
1991,CRUZEIRO DO SUL,AC,Norte,0.398,0.188,0.652,0.513,64.1,194.63,0.57,52227,-7.631,-72.67
1991,EPITACIOLÂNDIA,AC,Norte,0.372,0.148,0.643,0.54,63.56,229.95,0.58,7098,-11.029,-68.741
1991,FEIJÓ,AC,Norte,0.258,0.064,0.584,0.459,60.04,139.3,0.55,19494,-8.164,-70.354
1991,JORDÃO,AC,Norte,0.17,0.024,0.611,0.333,61.64,63.5,0.39,4357,-9.434,-71.884
1991,MÂNCIO LIMA,AC,Norte,0.298,0.099,0.622,0.429,62.33,115.12,0.47,9214,-7.614,-72.896
1991,MANOEL URBANO,AC,Norte,0.218,0.038,0.643,0.423,63.56,111.5,0.62,6151,-8.839,-69.26
1991,MARECHAL THAUMATURGO,AC,Norte,0.186,0.03,0.596,0.361,60.74,75.84,0.42,9231,-8.941,-72.792
1991,PLÁCIDO DE CASTRO,AC,Norte,0.265,0.061,0.649,0.469,63.94,148.43,0.57,10232,-10.335,-67.184
1991,PORTO WALTER,AC,Norte,0.176,0.026,0.596,0.354,60.74,72.49,0.45,6402,-8.269,-72.744
1991,RIO BRANCO,AC,Norte,0.485,0.259,0.684,0.643,66.02,437.12,0.6,180722,-9.975,-67.81
1991,RODRIGUES ALVES,AC,Norte,0.245,0.061,0.622,0.386,62.33,88.55,0.48,5313,-7.742,-72.647
1991,SANTA ROSA DO PURUS,AC,Norte,0.167,0.019,0.643,0.378,63.56,84.23,0.39,929,-9.433,-70.493
1991,SENADOR GUIOMARD,AC,Norte,0.354,0.123,0.677,0.535,65.62,223.06,0.56,15243,-10.151,-67.736
1991,SENA MADUREIRA,AC,Norte,0.317,0.102,0.647,0.483,63.83,161.96,0.61,19925,-9.066,-68.657
1991,TARAUACÁ,AC,Norte,0.274,0.075,0.611,0.45,61.68,131.44,0.57,24045,-8.161,-70.766
1991,XAPURI,AC,Norte,0.348,0.131,0.646,0.496,63.73,175.31,0.55,10990,-10.652,-68.504
1991,PORTO ACRE,AC,Norte,0.259,0.061,0.622,0.457,62.33,137.41,0.48,4616,-9.588,-67.533
1991,ALVARÃES,AM,Norte,0.306,0.092,0.64,0.487,63.41,165.64,0.63,7351,-3.221,-64.804
1991,AMATURÁ,AM,Norte,0.254,0.064,0.599,0.425,60.91,112.32,0.7,3015,-3.364,-68.198
1991,ANAMÃ,AM,Norte,0.307,0.097,0.59,0.504,60.4,184.6,0.53,5967,-3.58,-61.404
1991,ANORI,AM,Norte,0.357,0.157,0.595,0.489,60.71,168.24,0.46,8824,-3.773,-61.644
1991,APUÍ,AM,Norte,0.322,0.099,0.622,0.542,62.31,233.59,0.59,5260,-7.197,-59.891
1991,ATALAIA DO NORTE,AM,Norte,0.246,0.058,0.64,0.399,63.41,95.57,0.76,3840,-4.372,-70.192
1991,AUTAZES,AM,Norte,0.357,0.14,0.64,0.507,63.41,187.62,0.7,14168,-3.58,-59.131
1991,BARCELOS,AM,Norte,0.317,0.1,0.615,0.518,61.87,200.7,0.43,10136,-0.975,-62.924
1991,BARREIRINHA,AM,Norte,0.293,0.093,0.62,0.438,62.17,122.12,0.52,14299,-2.793,-57.07
1991,BENJAMIN CONSTANT,AM,Norte,0.3,0.107,0.622,0.404,62.31,98.76,0.73,16521,-4.383,-70.031
1991,BERURI,AM,Norte,0.272,0.081,0.59,0.42,60.4,109.23,0.49,7143,-3.898,-61.373
1991,BOA VISTA DO RAMOS,AM,Norte,0.287,0.089,0.599,0.445,60.95,127.87,0.49,7400,-2.97,-57.59
1991,BOCA DO ACRE,AM,Norte,0.288,0.078,0.635,0.484,63.07,162.27,0.59,25652,-8.752,-67.398
1991,BORBA,AM,Norte,0.305,0.1,0.576,0.491,59.56,169.55,0.64,16630,-4.388,-59.594
